"Part name","Quantity","Width mm","Length mm","Height mm","Description",
"2040 Z 700","4","40,000","20,000","750,000","2040 Z 700 No Tap",
"2040 Y 460 T","4","40,000","20,000","480,000","2040 Y 460 Tapped",
"2040 X 420 T","4","40,000","20,000","420,000","2040 X 420 Tapped",
"2020 Z Center Back 500","1","20,000","339,000","20,000","2020 Z Center Back 500",
"M3 Hammer-Nut","30","10,000","6,000","4,500","",
"m3x08 SH DIN 912 ISO 4762 + HN","30","5,500","5,487","11,000","",
"MGN_12_H_CARRAGE","5","27,000","10,000","50,400","",
"MGN 12h 400","2","12,000","8,000","400,000","",
"MGN 12h 350","3","12,000","8,000","350,000","",
"M5 WASHER","38","10,000","10,000","1,100","",
"M5 WASHER","38","10,000","10,000","1,100","",
"M5x10 BH","38","9,498","9,498","12,750","",
"M5x10 BH","38","9,498","9,498","12,750","",
"2820 L Bracket","38","28,000","20,000","28,000","",
"M5 T-Nut OB","38","15,000","10,000","3,000","OpenBuilds Tee Nut",
"M5 T-Nut OB","38","15,000","10,000","3,000","OpenBuilds Tee Nut",
"2820 L Bracket(Mirror)","4","28,000","20,000","28,000","",
"M5 WASHER v1(Mirror)","4","10,000","10,000","1,100","",
"M5 WASHER v1 (1)(Mirror)","4","10,000","10,000","1,100","",
"M5x10 BH v1(Mirror)","4","9,498","9,498","12,750","",
"M5x10 BH v1 (1)(Mirror)","4","9,498","9,498","12,750","",
"M5 T-Nut OB v1(Mirror)","4","15,000","10,000","3,000","OpenBuilds Tee Nut",
"M5 T-Nut OB v1 (1)(Mirror)","4","15,000","10,000","3,000","OpenBuilds Tee Nut",
"2020 Top Back 420","1","20,000","420,000","20,000","2020 Z Center Back 500",
"M5 Nut Locknut","8","8,000","0,757","9,238","",
"Leg Nut","4","33,996","33,158","10,000","",
"DoorStop","4","19,603","19,574","10,000","",
"M5x30 BH","4","9,496","9,496","32,750","",
"M5x08 BH ISO 7380","8","9,498","9,498","10,750","",
"Adjustable Leg 2040","4","40,400","20,400","7,000","",
