Part name,Quantity
11mm GT2 Idler 20S Gates,10
11mm GT2 Idler 20T Gates,5
11mm GT2 Motor Pulley 20T,4
11mm GT2 Motor Pulley 20T v4(Mirror),1
200mm GT2 Timing Belt,1
200mm GT2 Timing Belt,1
200mm GT2 Timing Belt(Mirror),1
2020 Carbon Tube,1
2820 L Bracket,38
2820 L Bracket(Mirror),4
5x25 Bearing Shaft v2,3
5x30 Bearing Shaft,2
5x40 Bearing Shaft,10
5x50 Bearing Shaft,4
5x50 Bearing Shaft v2(Mirror),2
625 2RS Ball Bearing 5x16x5,4
625 2RS Ball Bearing 5x16x5 v1(Mirror),2
6mm GT2 Motor Pulley 20T A,2
6mm GT2 Motor Pulley 20T A v2(Mirror),1
A Idler Bracket Front_1X,1
A Idler Bracket Rear_1X,1
A Idler Tension Tower_1x,1
AB Idler Spacer_4x,2
AB Idler Spacer_4x,2
B Idler Bracket Front_1X,1
B Idler Bracket Rear_1X,1
B Idler Tension Tower_1x,1
Ball End Joint,3
"Bearing 5x8x2,5",10
GT2 80T Pulley,2
GT2 80T Pulley v2(Mirror),1
M3 Nut,10
M3 Nut Hammer Nut,34
M3 Nut Lock Nut,8
M3 Nut v1(Mirror),1
M3 Nut v1(Mirror),2
M3x08 BH,20
M3x08 BH v1(Mirror),4
M3x08 SH DIN 912 ISO 4762 + HN,34
M3x10 BH ISO 7380,26
M3x10 BH ISO 7380 v1(Mirror),5
M3x10 BH ISO 7380 v1(Mirror),2
M3x15 BH ISO 7380,8
M4 D5 L55 Shoulder Screw,2
M4 D5 L55 Shoulder Screw v3(Mirror),1
M4 LOCK NUT,2
M4 LOCK NUT v1(Mirror),1
M4 NUT,2
M4 NUT v1(Mirror),1
M4 WASHER,2
M4 WASHER v1(Mirror),1
M4x15 CS FH DIN 7991 ISO 10642,2
M4x15 CS FH DIN 7991 ISO 10642 v1(Mirror),1
M4x20 FH CS DIN 7991 ISO 10642,3
,
M5 Nut,4
M5 Nut Hammer Nut,27
M5 Nut Hammer Nut v2(Mirror),3
M5 Nut Locknut,5
M5 T-Nut OB,38
M5 T-Nut OB,38
M5 T-Nut OB v1 (1)(Mirror),4
M5 T-Nut OB v1(Mirror),4
M5 WASHER,38
M5 WASHER,38
M5 WASHER,5
M5 WASHER v1 (1)(Mirror),4
M5 WASHER v1(Mirror),4
M5x10 BH,38
M5x10 BH,38
M5x10 BH ISO 7380,25
M5x10 BH ISO 7380 v1(Mirror),2
M5x10 BH v1 (1)(Mirror),4
M5x10 BH v1(Mirror),4
M5x20 BH ISO 7380,6
M5x20 BH ISO 7380 v1(Mirror),1
M5x30 HEX ISO 4017 DIN 933,5
M5x6.5x1 Precision Shim,32
M5x6.5x1 Precision Shim v5(Mirror),1
,
Magnet_3x,2
Magnet_3x(Mirror),1
MGN 12h 350,3
MGN 12h 400,2
MGN_12_H_CARRAGE,5
MGN9-H,1
MGN9H 400 Assy,1
Motor Bracket A_1x,1
Nema 17 40mm,4
Nema 17 40mm v4(Mirror),1
Silicone Heat Pad,1
Tension Fork Smooth_2x,2
Tension Fork Toothed_5x,3
Top Plate Mjølnir,1
Valkyrie Build Plate,1
Valkyrie Tool Head,1
X 2020 Top Back 420,1
X 2040 420,4
Y 2040 480,4
Y Carrier A_1x,1
Y Carrier B_1x,1
Z 2020 Center Back 339,1
Z 2040 700,4
Z Belt Lock AB_2x,1
Z Belt Lock AB_2x(Mirror),1
Z Belt Lock C_1x,1
Z Carrier A_1x,1
Z Carrier B_1x,1
Z Carrier C_1x,1
Z Gear Bearing Support A_1x,1
Z Gear Bearing Support A_1x(Mirror),1
Z Gear Bearing Support C_1x,1
Z Gear Buddy A_1x,1
Z Gear Buddy A_1x,1
Z Gear Buddy A_1x(Mirror),1
Z Idler Top Front_2x,2
Z Idler Top Rear_1x,1
